,State,Turnout,D_Votes,R_Votes,Other_Votes,Total_Votes,D_pct,R_pct,O_pct,R_margin,R_lean
0,Alabama,73.9,813479,1266546,19794,2099819,38.74,60.32,0.94,21.58,28.84
1,Alaska,65.8,123594,193841,8762,326197,37.89,59.42,2.69,21.53,28.79
2,Arizona,77.1,1034707,1230111,39020,2303838,44.91,53.39,1.69,8.480000000000004,15.74
3,Arkansas,64.5,422310,638017,26290,1086617,38.86,58.72,2.42,19.86,27.12
4,California,78.5,8274473,5011781,296829,13583083,60.92,36.9,2.19,-24.020000000000003,-16.76
5,Colorado,91.1,1288633,1073629,39200,2401462,53.66,44.71,1.63,-8.949999999999996,-1.69
6,Connecticut,78.2,997773,629428,19592,1646793,60.59,38.22,1.19,-22.370000000000005,-15.11
7,Delaware,68.5,255459,152374,4783,412616,61.91,36.93,1.16,-24.979999999999997,-17.72
8,D. C.,62.3,245800,17367,2686,265853,92.46,6.53,1.01,-85.92999999999999,-78.67
9,Florida,74.8,4282367,4046219,83662,8412248,50.91,48.1,0.99,-2.809999999999995,4.45
10,Georgia,74.1,1844123,2048759,39276,3932158,46.9,52.1,1.0,5.200000000000003,12.46
11,Hawaii,65.6,325871,120566,7131,453568,71.85,26.58,1.57,-45.269999999999996,-38.01
12,Idaho,76.3,236440,403012,19002,658454,35.91,61.21,2.89,25.300000000000004,32.56
13,Illinois,71.0,3419348,2031179,79652,5530179,61.83,36.73,1.44,-25.1,-17.84
14,Indiana,61.1,1374039,1345648,36971,2756658,49.84,48.81,1.34,-1.0300000000000011,6.23
15,Iowa,73.0,828940,682379,25804,1537123,53.93,44.39,1.68,-9.54,-2.28
16,Kansas,70.8,514765,699655,24453,1238873,41.55,56.48,1.97,14.93,22.19
17,Kentucky,62.9,751985,1048462,27140,1827587,41.15,57.37,1.49,16.22,23.48
18,Louisiana,66.6,782989,1148275,29497,1960761,39.93,58.56,1.5,18.630000000000003,25.89
19,Maine,73.5,421923,295273,13967,731163,57.71,40.38,1.91,-17.33,-10.07
20,Maryland,76.7,1629467,959862,42267,2631596,61.92,36.47,1.61,-25.450000000000003,-18.19
21,Massachusetts,73.0,1904098,1108854,68117,3081069,61.8,35.99,2.21,-25.809999999999995,-18.55
22,Michigan,67.1,2872579,2048639,89388,5010606,57.33,40.89,1.78,-16.439999999999998,-9.18
23,Minnesota,77.8,1573354,1275409,61606,2910369,54.06,43.82,2.12,-10.240000000000002,-2.98
24,Mississippi,68.0,554662,724597,10680,1289939,43.0,56.17,0.83,13.170000000000002,20.43
25,Missouri,77.2,1441911,1445814,41386,2929111,49.23,49.36,1.41,0.13000000000000256,7.39
26,Montana,73.8,232159,243882,16709,492750,47.11,49.49,3.39,2.3800000000000026,9.64
27,Nebraska,69.2,333319,452979,14983,801281,41.6,56.53,1.87,14.93,22.19
28,Nevada,80.1,533736,412827,21285,967848,55.15,42.65,2.2,-12.5,-5.24
29,New Hampshire,74.2,384826,316534,9610,710970,54.13,44.52,1.35,-9.61,-2.35
30,New Jersey,72.5,2215422,1613207,48778,3877407,57.14,41.61,1.26,-15.530000000000001,-8.27
31,New Mexico,69.6,472422,346832,10904,830158,56.91,41.78,1.31,-15.129999999999995,-7.87
32,New York,70.6,4804945,2752771,83232,7640948,62.88,36.03,1.09,-26.85,-19.59
33,North Carolina,69.2,2142651,2128474,39664,4310789,49.7,49.38,0.92,-0.3200000000000003,6.94
34,North Dakota,,141403,168887,7448,317738,44.5,53.15,2.34,8.649999999999999,15.91
35,Ohio,69.0,2940044,2677820,103967,5721831,51.38,46.8,1.82,-4.580000000000005,2.68
36,Oklahoma,67.0,502496,960165,0,1462661,34.35,65.65,0.0,31.300000000000004,38.56
37,Oregon,84.9,1037291,738475,52098,1827864,56.75,40.4,2.85,-16.35,-9.09
38,Pennsylvania,68.7,3276363,2655885,83228,6015476,54.47,44.15,1.38,-10.32,-3.06
39,Rhode Island,67.3,296571,165391,9804,471766,62.86,35.06,2.08,-27.799999999999997,-20.54
40,South Carolina,74.5,862449,1034896,23624,1920969,44.9,53.87,1.23,8.969999999999999,16.23
41,South Dakota,72.0,170924,203054,7997,381975,44.75,53.16,2.09,8.409999999999997,15.67
42,Tennessee,71.8,1087437,1479178,35367,2601982,41.79,56.85,1.36,15.060000000000002,22.32
43,Texas,69.3,3528633,4479328,79830,8087791,43.63,55.38,0.99,11.75,19.01
44,Utah,66.9,327670,596030,35296,958996,34.17,62.15,3.68,27.979999999999997,35.24
45,Vermont,71.5,219262,98974,6810,325046,67.46,30.45,2.1,-37.00999999999999,-29.75
46,Virginia,75.8,1959532,1725005,38723,3723260,52.63,46.33,1.04,-6.300000000000004,0.96
47,Washington,84.1,1750848,1229216,73197,3053261,57.34,40.26,2.4,-17.080000000000005,-9.82
48,West Virginia,59.0,303857,397466,13800,715123,42.49,55.58,1.93,13.089999999999996,20.35
49,Wisconsin,,1677211,1262393,43813,2983417,56.22,42.31,1.47,-13.909999999999997,-6.65
50,Wyoming,104.0,82868,164958,6832,254658,32.54,64.78,2.68,32.24,39.5
51,Total,74.4,69499428,59950323,2023954,131473705,52.86,45.6,1.54,-7.259999999999998,0.0
